(1660, 1469)
(1689, 967)
(1700, 949)
(1680, 946)
(1681, 886)
(1690, 863)
(1695, 836)
(1682, 794)
(1698, 694)
(1679, 690)
(1691, 686)
(1699, 679)
(1683, 677)
(1685, 671)
(1688, 639)
(1697, 618)
(1661, 613)
(1696, 596)
(1693, 582)
(1692, 582)
(1694, 580)
(1684, 565)
(1675, 509)
(1662, 497)
(1687, 472)
(1674, 460)
(1678, 427)
(1663, 426)
(1672, 405)
(1676, 401)
(1677, 400)
(1670, 381)
(1673, 380)
(1686, 351)
(1665, 317)
(1664, 292)
(1669, 285)
(1671, 271)
(1667, 238)
(1666, 232)
(1668, 230)
(1701, 12)
(1711, 4)
(1704, 4)
(1710, 3)
(1713, 2)
(1712, 2)
(1708, 2)
(1705, 2)
(1702, 2)
(1703, 1)
