,year,similar,publica ratio,religio ratio,medica ratio
0,1660,,0,0,0
1,1661,,0,0,0
2,1662,,0,0,0
3,1663,,0,0,0
4,1664,,0,0,0
5,1665,,0,0,0
6,1666,,0,0,0
7,1667,,0,0,0
8,1668,,0,0,0
9,1669,,0,0,0
10,1670,,0,0,0
11,1672,,0.9276188743241095,0.9784860397419691,0.9952943589952257
12,1673,,0,0,0
13,1674,,0,0,0
14,1675,,0,0,0
15,1676,,0.9600636787199938,0.9232357973486591,0.9150799265917158
16,1677,,0,0,0
17,1678,,0,0,0
18,1679,,0,0,0
19,1680,,0,0,0
20,1681,,0,0,0
21,1682,,0.19502277030475548,0.19570459366521617,0.18508578903129091
22,1683,,0,0,0
23,1684,,0,0,0
24,1685,,0,0,0
25,1687,,0,0,0
26,1688,,0,0,0
27,1689,,0.9714679220163753,0.9902939962533613,0.989762581884861
28,1690,,0,0,0
29,1691,,0.9201322335712278,0.8907428633013488,0.9434245890472084
30,1692,,0,0,0
31,1693,,0.9223854277351157,0.9489712845115514,0.8715228854989012
32,1694,,0,0,0
33,1695,,0.878169988128874,0.9346143353453025,0.9739693831652403
34,1696,,0.8843163667522647,0.9054106782790687,0.9059764617236286
35,1697,,0.9195679597430615,0.9466478299612228,0.8512942523780194
36,1698,,0.9507366264812075,0.8665003331895503,0.7620532086429497
37,1699,,0.8923740672624164,0.9595430824728239,0.9292188330075225
38,1700,,0.9543457534486727,0.8877686089643183,0.8870764086170803
