,year,similar,publica ratio,religio ratio,medica ratio
0,1660,,0,0,0
1,1661,,0,0,0
2,1662,,0,0,0
3,1663,,0.9343272498808801,0.8896942272443663,0.8493016221604887
4,1664,,0.8059162490363968,0.7896117351068608,0.8181643845185383
5,1665,,0,0,0
6,1666,,0.9557621363326435,0.9574064699369117,0.888104720653868
7,1667,,0,0,0
8,1668,,0,0,0
9,1669,,0.8945710192462711,0.8725149214642086,0.9360226183198392
10,1670,,0,0,0
11,1672,,0.9098829980933892,0.9676604817310969,0.9816884228161403
12,1673,,0,0,0
13,1674,,0,0,0
14,1675,,0,0,0
15,1676,,0.9605133382687037,0.923711840940926,0.9154143282050629
16,1677,,0,0,0
17,1678,,0,0,0
18,1679,,0,0,0
19,1680,,0.9782110576539539,0.9106789850171636,0.9531265119414615
20,1681,,0.9502647940005378,0.86984413109372,0.9372899075253651
21,1682,,0,0,0
22,1683,,0,0,0
23,1684,,0,0,0
24,1685,,0.9812495079453266,0.9305268820379315,0.974060489515227
25,1687,,0,0,0
26,1688,,0.9968364618572534,0.9976002746506741,0.9977448648876615
27,1689,,0.9735068994105895,0.9943790637577573,0.9927932077220508
28,1690,,0.9719794946205285,0.9499051213574906,0.9955526315248929
29,1691,,0.9054466251756158,0.8892629167204914,0.9448184728932877
30,1692,,0,0,0
31,1693,,0.6470538445542163,0.6691929176430155,0.6151287359030296
32,1694,,0.541857543106038,0.5504724357394487,0.568085225086127
33,1695,,0.8367310313714875,0.8764815649285199,0.9312128755263984
34,1696,,0.8893144700253978,0.9198819462011603,0.91881287825574
35,1697,,0.9191147842336781,0.9482650309592151,0.8521650601453571
36,1698,,0.948302252962034,0.8646207435367008,0.7602901539183222
37,1699,,0.8949055416183755,0.9619656715364683,0.927192068482573
38,1700,,0.9559475810093668,0.8881968601573033,0.8881404943586815
