,year,similar,publica ratio,religio ratio,medica ratio
0,1660,,0.940992646758825,0.9791367378049683,0.9415948781371116
1,1661,,0.0,0.0,0.0
2,1662,,0.0,0.0,0.0
3,1663,,0.0,0.0,0.0
4,1664,,0.40269176651349164,0.3928980902403577,0.4181847230817022
5,1665,,0.0,0.0,0.0
6,1666,,0.957757687532119,0.9590557806339919,0.8894547534322268
7,1667,,0.0,0.0,0.0
8,1668,,0.0,0.0,0.0
9,1669,,0.8935254984238947,0.8718776515748936,0.9357700873788417
10,1670,,0.0,0.0,0.0
11,1672,,0.6527449071024237,0.689676873598621,0.701051229197118
12,1673,,0.9967251056578101,0.9971667893078863,0.9970875978469849
13,1674,,0.0,0.0,0.0
14,1675,,0.0,0.0,0.0
15,1676,,0.9491984125441866,0.9091997985714653,0.900026683540394
16,1677,,0.9650155676894688,0.960935073529745,0.9577209731297833
17,1678,,0.0,0.0,0.0
18,1679,,0.0,0.0,0.0
19,1680,,0.9806018412806267,0.9130393844444622,0.9554107038547164
20,1681,,0.6273071620050072,0.57651332410384,0.6213644634113641
21,1682,,0.9240212529130076,0.9831769031654928,0.9319636991567677
22,1683,,0.9792691279541362,0.9695603563026949,0.9550679408841662
23,1684,,-0.06619688939524464,-0.07291573808631963,-0.015575469373480269
24,1685,,0.980157362785013,0.929701406470136,0.973477227169843
25,1687,,0.0,0.0,0.0
26,1688,,0.9965572894788256,0.9972997041125047,0.9977727731068929
27,1689,,0.9724729193772884,0.9932025019079447,0.9910559302994183
28,1690,,0.9721593142575806,0.9494764155087372,0.9951466642893277
29,1691,,0.9006881438328304,0.8879998367930831,0.9448570417240262
30,1692,,0.0,0.0,0.0
31,1693,,0.9187538072079093,0.9486833823598879,0.8742068717217383
32,1694,,0.9123206859800863,0.9329706156575011,0.967297815744366
33,1695,,0.8749350379462595,0.9501909336871104,0.9670440293848515
34,1696,,0.8733155126463039,0.9115115066872979,0.907326523578968
35,1697,,0.9029447147747837,0.9353549510945017,0.8405079792592336
36,1698,,0.9492906170269054,0.8656892016805985,0.7607862277887761
37,1699,,0.8796649373767087,0.9535424495736758,0.9233009696661217
38,1700,,0.9538624797427615,0.8867598104803167,0.8863954666765437
