,year,similar,publica ratio,religio ratio,medica ratio
0,1660,,0.9519644575849385,0.977876946185399,0.9447931588316957
1,1661,,0.0,0.0,0.0
2,1662,,0.0,0.0,0.0
3,1663,,0.0,0.0,0.0
4,1664,,0.7091341371258504,0.6952806244587576,0.7139046450859067
5,1665,,0.0,0.0,0.0
6,1666,,-0.009273944226980704,-0.015228222746301588,0.01489570016403579
7,1667,,0.0,0.0,0.0
8,1668,,0.0,0.0,0.0
9,1669,,0.0,0.0,0.0
10,1670,,0.0,0.0,0.0
11,1672,,0.922986816486408,0.9750743047653825,0.9920578134261956
12,1673,,0.0,0.0,0.0
13,1674,,0.0,0.0,0.0
14,1675,,0.0,0.0,0.0
15,1676,,0.9577557709623585,0.9217538003499309,0.9052577285138382
16,1677,,0.9701687798610764,0.9646986536498966,0.958793676831978
17,1678,,0.0,0.0,0.0
18,1679,,0.0,0.0,0.0
19,1680,,0.9789176505146315,0.9074483002977152,0.9483497200364416
20,1681,,-0.08628687212150052,-0.08114060615331162,-0.09100327016009639
21,1682,,0.9317248989724854,0.978987686681686,0.928062159733306
22,1683,,0.9804173209281131,0.9707665753861269,0.9541570909607869
23,1684,,0.0,0.0,0.0
24,1685,,0.0,0.0,0.0
25,1687,,0.0,0.0,0.0
26,1688,,0.0,0.0,0.0
27,1689,,0.9699093907325025,0.9840470682829618,0.9836912611384451
28,1690,,0.0,0.0,0.0
29,1691,,0.9138415613524394,0.88020068273276,0.9313538361610355
30,1692,,0.0,0.0,0.0
31,1693,,0.9228706536908643,0.9490683107699655,0.8972696190799719
32,1694,,0.912454609320133,0.9336444163056985,0.9653309290297329
33,1695,,0.8777209939224417,0.9220300600256609,0.9659995861627437
34,1696,,0.8905102908785562,0.9134758666159016,0.9066124666637431
35,1697,,0.9183069453357794,0.9447474970683565,0.8438914762496085
36,1698,,0.9469072173063638,0.8631538200424984,0.7749103864316236
37,1699,,0.8807092899941075,0.9371598784199783,0.9318123841322684
38,1700,,0.9566515281226642,0.8842418489160744,0.8923346645345813
