format is (<name> <TYPE>, <frequency>)
('collegii s s PERSON', 4)
('collegii s PERSON', 4)
('cimitationibus ORG', 4)
('chronographia NORP', 4)
('christoph PERSON', 4)
('chorographica loca PERSON', 4)
('charles kings PERSON', 4)
('charles cotton PERSON', 4)
('causa seu nova unica compendiaria ORG', 4)
('cato major of old ORG', 4)
('cartesian NORP', 4)
('cantab ORG', 4)
('brier blaier ORG', 4)
("bound s randolph's ORG", 4)
('botannico price PERSON', 4)
('boston GPE', 4)
('ben johnson PERSON', 4)
('belfast GPE', 4)
('bay-hall LOC', 4)
('bardolf PERSON', 4)
('auxit price s PERSON', 4)
('authoris price PERSON', 4)
('austin PERSON', 4)
('aucto GPE', 4)
('at least one CARDINAL', 4)
('at least four CARDINAL', 4)
('aston PERSON', 4)
('asian NORP', 4)
('armenian NORP', 4)
('arlington GPE', 4)
('arabia GPE', 4)
('aqua PERSON', 4)
('apostolica seu PERSON', 4)
('antonio de mendoza PERSON', 4)
('anthony fitzherbert PERSON', 4)
('anno vicessimo PERSON', 4)
('anni NORP', 4)
('anglos enrich de dialogues curieux ORG', 4)
('anatomica de PERSON', 4)
('an hundred CARDINAL', 4)
('almost half CARDINAL', 4)
('all thoe five years DATE', 4)
('alexander ross PERSON', 4)
('after-ages DATE', 4)
('administrationis sacramentorum PERSON', 4)
('ac proto PERSON', 4)
('about ten years DATE', 4)
('about ten or CARDINAL', 4)
('about noon TIME', 4)
('about four fifths CARDINAL', 4)
('about fifteen to one CARDINAL', 4)
('about about ton QUANTITY', 4)
('about a year DATE', 4)
('about a million CARDINAL', 4)
('ab ecclesia ORG', 4)
('a million of pounds QUANTITY', 4)
('a mile QUANTITY', 4)
('worcestershire GPE', 3)
('william wilde PERSON', 3)
('william white PERSON', 3)
('william whitaker PERSON', 3)
('william walker PERSON', 3)
('william venables PERSON', 3)
('william thompson PERSON', 3)
('william thomas price PERSON', 3)
('william style esq PERSON', 3)
('william strong PERSON', 3)
('william simpson PERSON', 3)
('william scroggs PERSON', 3)
('william russel PERSON', 3)
('william rufus PERSON', 3)
('william rawleigh PERSON', 3)
('william prynne PERSON', 3)
('william prynn PERSON', 3)
("william petty's PERSON", 3)
('william no PERSON', 3)
('william lucy PERSON', 3)
('william llaud PERSON', 3)
('william lenthal PERSON', 3)
('william lambard PERSON', 3)
('william jones PERSON', 3)
('william johnson PERSON', 3)
('william gurnal PERSON', 3)
('william greenwood PERSON', 3)
('william greenhill PERSON', 3)
('william grantham PERSON', 3)
('william franklin knight PERSON', 3)
('william clarke PERSON', 3)
('william cavendish PERSON', 3)
('william brough PERSON', 3)
('william bridge PERSON', 3)
('william bagshaw PERSON', 3)
('willam gurnall PERSON', 3)
('wilkinson corinthians PERSON', 3)
('whereunto GPE', 3)
('west amos PERSON', 3)
('wellington psalm north psalm spencer ORG', 3)
('week DATE', 3)
('wakeman ORG', 3)
('w waller PERSON', 3)
('w lee h PERSON', 3)
('vivian mullineaux PERSON', 3)
('virginia GPE', 3)
('vienna GPE', 3)
('unchristian NORP', 3)
("ulterius factur' receptur ORG", 3)
('ult ORG', 3)
('two whole months DATE', 3)
('two third CARDINAL', 3)
('two or three years DATE', 3)
('two one year DATE', 3)
('two inches QUANTITY', 3)
('two hundred years old DATE', 3)
('two hundred thousand pounds QUANTITY', 3)
('twenty-fours DATE', 3)
('twenty two thousand CARDINAL', 3)
('twenty to one CARDINAL', 3)
('twenty thousand CARDINAL', 3)
('twenty per cent MONEY', 3)
('twenty one CARDINAL', 3)
('twenty nine years DATE', 3)
('twenty five pound QUANTITY', 3)
('twelve-pence MONEY', 3)
('twelve hours TIME', 3)
('tuba GPE', 3)
('treasur ORG', 3)
('traduntur logistica astronomica ORG', 3)
('three quarters of a year DATE', 3)
('three pounds QUANTITY', 3)
('three or five CARDINAL', 3)
('three inches QUANTITY', 3)
('three hundred pounds QUANTITY', 3)
('those early days DATE', 3)
('thomas warmstry PERSON', 3)
('thomas vincent PERSON', 3)
('thomas venn PERSON', 3)
('thomas tusser PERSON', 3)
('thomas thynne PERSON', 3)
('thomas taylor PERSON', 3)
('thomas southouse PERSON', 3)
('thomas skinner PERSON', 3)
('thomas shirley PERSON', 3)
('thomas salmon PERSON', 3)
('thomas philpot PERSON', 3)
('thomas peck PERSON', 3)
('thomas norris PERSON', 3)
('thomas morton PERSON', 3)
('thomas moor PERSON', 3)
('thomas manly PERSON', 3)
('thomas lee PERSON', 3)
('thomas ireland PERSON', 3)
('thomas impey PERSON', 3)
('thomas hunt PERSON', 3)
('thomas hinch PERSON', 3)
('thomas fuller PERSON', 3)
('thomas degrey PERSON', 3)
('thomas cromwell PERSON', 3)
('thomas ash price PERSON', 3)
('thomas arundel PERSON', 3)
('this years DATE', 3)
('this million CARDINAL', 3)
('this evening TIME', 3)
('this days DATE', 3)
('this afternoon TIME', 3)
('thirty-four CARDINAL', 3)
('thirty or forty thousand pounds CARDINAL', 3)
('thirty one CARDINAL', 3)
('thirtieth ORDINAL', 3)
('thirdly ORDINAL', 3)
('their quarters DATE', 3)
('their climacteric year DATE', 3)
('the winter DATE', 3)
('the university of leyden ORG', 3)
('the thousand years DATE', 3)
('the third of august DATE', 3)
('the th year of this DATE', 3)
('the th day of august DATE', 3)
('the st of october DATE', 3)
('the sixth year DATE', 3)
('the sixth month DATE', 3)
('the sixteenth year DATE', 3)
('the several years DATE', 3)
('the seventh day DATE', 3)
('the seconds TIME', 3)
('the roman catholic church ORG', 3)
('the privy-council ORG', 3)
('the other thirty days DATE', 3)
('the of september DATE', 3)
('the north east LOC', 3)
('the ninth century DATE', 3)
('the next council day DATE', 3)
('the ministry of cardinal ORG', 3)
('the merchants council ORG', 3)
('the magellanean strait LOC', 3)
('the latter days DATE', 3)
('the lat years DATE', 3)
('the lat year DATE', 3)
('the house of york ORG', 3)
('the great day DATE', 3)
('the general haven ORG', 3)
('the general assembly ORG', 3)
('the fourth year DATE', 3)
('the fourth month DATE', 3)
('the first thirty days or month DATE', 3)
('the first ten days of the month DATE', 3)
('the first ages DATE', 3)
('the finding hour TIME', 3)
('the fifth month DATE', 3)
('the famous monsieur season DATE', 3)
('the end of the sixteenth century DATE', 3)
('the certain year month day DATE', 3)
('the bank of venice ORG', 3)
('the am two three four and five hundred pounds TIME', 3)
('the age of sixteen years DATE', 3)
('ten thousand square QUANTITY', 3)
('ten or fifteen pounds QUANTITY', 3)
('ten miles QUANTITY', 3)
('ten inches QUANTITY', 3)
('ten centuries DATE', 3)
('tarry anglia ORG', 3)
('symon patrick PERSON', 3)
('symon patrick ORG', 3)
('swedish NORP', 3)
('sutton ORG', 3)
('sulphur PERSON', 3)
('such a year DATE', 3)
("st stephen's GPE", 3)
('st sepulchres london price ORG', 3)
('st pals hurch ORG', 3)
('st mary magdalen milk-street london ORG', 3)
('st giacomo baratti ORG', 3)
("st george's GPE", 3)
('st george ORG', 3)
('st george FAC', 3)
("st dunstan's ORG", 3)
('st andrews price ORG', 3)
('sr william PERSON', 3)
('sr henry telverton baronet ORG', 3)
('spencer hickman scarborough PERSON', 3)
('some thousands CARDINAL', 3)
('some thousand CARDINAL', 3)
('some hundreds of thousands CARDINAL', 3)
('so many years DATE', 3)
('so many thousand CARDINAL', 3)
('so many days DATE', 3)
('smith chron walker ORG', 3)
('smith PERSON', 3)
('sixty years DATE', 3)
('sixteen hundred thousand pounds MONEY', 3)
('sixteen hundred thousand pounds CARDINAL', 3)
('six or seven CARDINAL', 3)
('six inches QUANTITY', 3)
('simmer PERSON', 3)
('silesia GPE', 3)
('sicut nobis constat de recordo FAC', 3)
('sharon PERSON', 3)
('several weeks DATE', 3)
('several thousands CARDINAL', 3)
('seventy or eighty pence MONEY', 3)
('seven or nine CARDINAL', 3)
('scotland france ORG', 3)
('sci face ORG', 3)
('samuel walton PERSON', 3)
('samuel rolls PERSON', 3)
('samuel clarke PERSON', 3)
('sam walsal PERSON', 3)
('sam newcome PERSON', 3)
('sam littleton PERSON', 3)
('sam hunt sam PERSON', 3)
('sam heyrick PERSON', 3)
('sam creed PERSON', 3)
('sam clarke PERSON', 3)
('sam clark PERSON', 3)
('sam bradshaw PERSON', 3)
('sam barksdale PERSON', 3)
("s milton's PERSON", 3)
("s lillie's PERSON", 3)
('s hickman PERSON', 3)
('s cor patrick WORK_OF_ART', 3)
('s clarke price sticht ORG', 3)
("s aesop's PERSON", 3)
('roberto sanderson s theology PERSON', 3)
('robert walton PERSON', 3)
('robert stapylton PERSON', 3)
('robert sharrock fellow PERSON', 3)
('robert peak PERSON', 3)
('robert paulet PERSON', 3)
('robert morton PERSON', 3)
('robert le PERSON', 3)
('robert horrid PERSON', 3)
('robert fage PERSON', 3)
('robert codrington PERSON', 3)
('robert clayton PERSON', 3)
('robert bruce PERSON', 3)
('robert abbot PERSON', 3)
('rob walton PERSON', 3)
('richard wiseman PERSON', 3)
('richard roiston PERSON', 3)
('richard lassel PERSON', 3)
('richard kidder PERSON', 3)
('richard jones PERSON', 3)
('richard hooker PERSON', 3)
('richard elton PERSON', 3)
('richard dyer PERSON', 3)
("richard baker's PERSON", 3)
('richard baker PERSON', 3)
('richard antrobus PERSON', 3)
('rich morris ORG', 3)
('resolve many millions CARDINAL', 3)
('religionis NORP', 3)
('regno nostro hiberniae ORG', 3)
('recuperationem adjudicationem PERSON', 3)
('ralph winterton PERSON', 3)
('ralph needham PERSON', 3)
('ralph grey PERSON', 3)
('quantum meruit ORG', 3)
('quaestu GPE', 3)
('puerilis confabulatiunculae PERSON', 3)
('psalm smith psalm highham psalm cromp psalm killegrew psalm ORG', 3)
('privy-council ORG', 3)
('portugese NORP', 3)
('pomona ORG', 3)
('plebeans NORP', 3)
('philip airs ORG', 3)
('phil straight PERSON', 3)
('phil reynolds PERSON', 3)
('phil boreman PERSON', 3)
('phil barker PERSON', 3)
('petrio clark PERSON', 3)
('peter wyche PERSON', 3)
('peter heylin PERSON', 3)
('peru GPE', 3)
('paul rycaut PERSON', 3)
('parliament ORG', 3)
('one weeks DATE', 3)
('one thousand pounds QUANTITY', 3)
('one per cent MONEY', 3)
('one hundred thirty CARDINAL', 3)
('one half or one quarter DATE', 3)
('observationibus ORG', 3)
('norwegians NORP', 3)
('northampton GPE', 3)
('noon TIME', 3)
('non-latin LOC', 3)
('nolle GPE', 3)
('ninety six CARDINAL', 3)
('nineteen years DATE', 3)
('nine penny MONEY', 3)
("nihil habuer' PERSON", 3)
('nieremberg s PERSON', 3)
('nicholas themilthorpe esq PERSON', 3)
('nicholas culpeper PERSON', 3)
('new-england LOC', 3)
('netherlands GPE', 3)
('nempe cerebrum PERSON', 3)
('nathaniel morton PERSON', 3)
('napkin PERSON', 3)
('multum in parvo ORG', 3)
('mov ORG', 3)
('morton PERSON', 3)
('more than two thousand pounds CARDINAL', 3)
('more than one year DATE', 3)
('more than five thousand pounds CARDINAL', 3)
('montserrat PERSON', 3)
('monsieur scarron PERSON', 3)
('miles smith ORG', 3)
('micrographia PERSON', 3)
('michael warton PERSON', 3)
('michael de la PERSON', 3)
('michael dalton PERSON', 3)
('michael angelo buonaroti PERSON', 3)
('metheglin PERSON', 3)
('meriton GPE', 3)
('medico physicae ORG', 3)
('may fall DATE', 3)
('maximillian NORP', 3)
('matt par matt PERSON', 3)
("mason shelton's PERSON", 3)
('maryland GPE', 3)
('mary jessop PERSON', 3)
('martin r horn ORG', 3)
('martin psalm boteler psalm walsall ORG', 3)
('martin h PERSON', 3)
('martha walmsby PERSON', 3)
('markham GPE', 3)
('many thousand CARDINAL', 3)
('manufactur PERSON', 3)
('manufactur GPE', 3)
('mantua ORG', 3)
('malcolm PERSON', 3)
('maij anno PERSON', 3)
('little-britain TIME', 3)
('lewis stuckley PERSON', 3)
('less than two years DATE', 3)
('less than one CARDINAL', 3)
('leslie cor PERSON', 3)
('lee PERSON', 3)
('lawrence PERSON', 3)
('latin price LOC', 3)
('late book WORK_OF_ART', 3)
('la scripture loca ORG', 3)
('la france ORG', 3)
('la domini ORG', 3)
('knight william harbord PERSON', 3)
('knight william PERSON', 3)
('knight whereunto PERSON', 3)
('king henry ORG', 3)
('king henry FAC', 3)
("king edward's ORG", 3)
('kim PERSON', 3)
('killcopp GPE', 3)
('juxta vim PERSON', 3)
('justinian NORP', 3)
('justin ORG', 3)
('just two hundred thousand pounds CARDINAL', 3)
('june july DATE', 3)
('julie flori PERSON', 3)
('joseph truman PERSON', 3)
('joseph clerk PERSON', 3)
('joseph clarke PERSON', 3)
('joseph church PERSON', 3)
('joseph caryl minister PERSON', 3)
('jose clarke PERSON', 3)
('jose PERSON', 3)
('jonathan trelawney PERSON', 3)
('jonathan andrews PERSON', 3)
('john wingfield PERSON', 3)
('john williamson PERSON', 3)
('john webster PERSON', 3)
('john trelawney PERSON', 3)
('john talbot PERSON', 3)
('john ryther PERSON', 3)
('john quarls PERSON', 3)
('john price PERSON', 3)
('john prevotius PERSON', 3)
('john preston PERSON', 3)
('john peritoneum PERSON', 3)
('john pell price PERSON', 3)
('john overtone PERSON', 3)
('john oliver PERSON', 3)
('john morton PERSON', 3)
('john maynard PERSON', 3)
('john maratyn PERSON', 3)
('john maggot PERSON', 3)
('john lloyd john PERSON', 3)
('john lawford PERSON', 3)
('john king henry PERSON', 3)
('john king PERSON', 3)
('john kersey PERSON', 3)
('john johnson PERSON', 3)
('john jacqueline PERSON', 3)
('john hunter PERSON', 3)
('john herman PERSON', 3)
('john gregory PERSON', 3)
('john goddard dr PERSON', 3)
('john fisher PERSON', 3)
('john fagg PERSON', 3)
('john dubois PERSON', 3)
('john downam PERSON', 3)
('john deane PERSON', 3)
('john crump PERSON', 3)
('john clarke PERSON', 3)
('john bryan PERSON', 3)
('john brown price PERSON', 3)
('john barbel PERSON', 3)
('john ashton PERSON', 3)
('johanne wallis s s th geometry PERSON', 3)
('jo norton PERSON', 3)
('jo martin PERSON', 3)
('jo hall b price ORG', 3)
('jo frederick PERSON', 3)
('jo clarke PERSON', 3)
('jo butler PERSON', 3)
('jo PERSON', 3)
('jeronimo de salas PERSON', 3)
('james woolveridge PERSON', 3)
('james lane PERSON', 3)
('james durham late PERSON', 3)
("james bagg's PERSON", 3)
('james anno PERSON', 3)
('jacobus ORG', 3)
('jabber beague PERSON', 3)
('ireton PERSON', 3)
('iran GPE', 3)
('ingentibus ORG', 3)
('ingelo PERSON', 3)
('inclos ORG', 3)
('hundreds or fifties CARDINAL', 3)
('hugo EVENT', 3)
("hudson's ORG", 3)
('hose harrison amos patrick PERSON', 3)
('hooker PERSON', 3)
('homeri PERSON', 3)
('holloway PERSON', 3)
('hickman matthew witby math standfast math ORG', 3)
('henshman ORG', 3)
('henry wilkinson PERSON', 3)
('henry warner PERSON', 3)
('henry tozer PERSON', 3)
('henry roll PERSON', 3)
('henry pierce earl PERSON', 3)
('henry philips ORG', 3)
('henry manwaring PERSON', 3)
('henry horringman PERSON', 3)
('henry hobart knight PERSON', 3)
('henry foulis PERSON', 3)
('henry duke PERSON', 3)
('henry calthrop PERSON', 3)
('henry blunt PERSON', 3)
('henry batson PERSON', 3)
('harding PERSON', 3)
('hannah wolley PERSON', 3)
('hamburgh germany GPE', 3)
('half an hour TIME', 3)
('great britain GPE', 3)
('george treby PERSON', 3)
('george meriton PERSON', 3)
('george meriton ORG', 3)
('george jefferies PERSON', 3)
('george evelyn PERSON', 3)
('george coke PERSON', 3)
('geometrica de maximis ORG', 3)
('generalia cerebrum PERSON', 3)
('gaveston ORG', 3)
('francis widens PERSON', 3)
('francis north PERSON', 3)
('francis mauricen PERSON', 3)
('francis caron PERSON', 3)
('francis bamfield PERSON', 3)
('fr kirkman PERSON', 3)
('four per cent MONEY', 3)
('four pence MONEY', 3)
('four mile QUANTITY', 3)
('four hundred years ago DATE', 3)
('four hundred years DATE', 3)
('four hundred sail QUANTITY', 3)
('four hundred pounds QUANTITY', 3)
('four eight months DATE', 3)
('forty to forty five DATE', 3)
('forty thousand CARDINAL', 3)
('forty or fifty CARDINAL', 3)
('forty miles QUANTITY', 3)
('forty DATE', 3)
('fort st george FAC', 3)
('former and later days DATE', 3)
('five to six CARDINAL', 3)
('five thouand pound QUANTITY', 3)
('five or seven CARDINAL', 3)
('five and twenty thousand pounds CARDINAL', 3)
('fifty-six CARDINAL', 3)
('fifty-one CARDINAL', 3)
('fifty or threescore DATE', 3)
('fifteen miles QUANTITY', 3)
('fifteen hundred thousand pounds CARDINAL', 3)
('fieri quote est ORG', 3)
('fac ORG', 3)
('f w mr PERSON', 3)
('f w PERSON', 3)
('every week DATE', 3)
('every sunday DATE', 3)
('every hundred pound QUANTITY', 3)
('every day of the week DATE', 3)
('ethiopian NORP', 3)
('ethiopia GPE', 3)
('episcopo GPE', 3)
('english acres QUANTITY', 3)
('england holland ORG', 3)
('england flanders zealand ORG', 3)
('enema PERSON', 3)
('elizabetham uxorem PERSON', 3)
('eight pence MONEY', 3)
('egypt barberry lybia ORG', 3)
('edwin PERSON', 3)
('edward wolley PERSON', 3)
('edward wells PERSON', 3)
('edward leigh esq PERSON', 3)
('edward lawrence PERSON', 3)
('edward fowler ORG', 3)
('edward earl PERSON', 3)
('edward cooke PERSON', 3)
('edward cocker magnum in ORG', 3)
('edward boughen PERSON', 3)
('ecclesiae anglicanae PERSON', 3)
('ecclesia anglicana GPE', 3)
('eccles meriton PERSON', 3)
('eccles bodington PERSON', 3)
('eat-india-company ORG', 3)
('eastern ORG', 3)
('easter week DATE', 3)
('each three months DATE', 3)
('durham westmorland cumberland northumberland ORG', 3)
('dugard PERSON', 3)
('duae de sanguines PERSON', 3)
('du-moulin ORG', 3)
('dr henry PERSON', 3)
('douglas gal PERSON', 3)
('don alonso PERSON', 3)
('dicti domini PERSON', 3)
('devon cornwall PERSON', 3)
('derby york GPE', 3)
('depauperationem manifestam PERSON', 3)
('denarius ORG', 3)
('deborah PERSON', 3)
('day DATE', 3)
('daniel foot PERSON', 3)
('daniel du-moulin PERSON', 3)
('dan PERSON', 3)
('crida PERSON', 3)
('cornhil speculum matrices ORG', 3)
('cornhil reliquiae ORG', 3)
("cornhil markham's PERSON", 3)
('cornhil grammaticus analyticus ORG', 3)
('cornhil formulae ORG', 3)
('corinthians NORP', 3)
('cor singleton ORG', 3)
('cor nalton ORG', 3)
('cor mason cor oldisworth cor brownsword ORG', 3)
('cor durham cor ORG', 3)
('cor cudworth ORG', 3)
('continu ORG', 3)
('consimilis monetae PERSON', 3)
('consimilis NORP', 3)
('comprehensae qua varies ORG', 3)
('columbus GPE', 3)
('colossians NORP', 3)
('christopher PERSON', 3)
('chr wilkinson ORG', 3)
('chr simpson ORG', 3)
('chettwin n brooke ORG', 3)
('charlton shrunken PERSON', 3)
('charles whole PERSON', 3)
('charles the ninth PERSON', 3)
('charles psalm PERSON', 3)
('charles princes PERSON', 3)
('charles price PERSON', 3)
('charles porter PERSON', 3)
('charles i PERSON', 3)
('charles herle PERSON', 3)
('charles cotton esq PERSON', 3)
('charles cotterel PERSON', 3)
('cat lat price mantuan price ORG', 3)
('carthaginians NORP', 3)
('carolina virginia GPE', 3)
('carolina GPE', 3)
('canterbury GPE', 3)
('bussora GPE', 3)
('brussels GPE', 3)
('breadths PERSON', 3)
('bounn s PERSON', 3)
("bound s ovid's DATE", 3)
("bound s london's PERSON", 3)
('bound s dictionarium ORG', 3)
('boon-bay TIME', 3)
('bishop morton PERSON', 3)
('bin silent PERSON', 3)
('betts PERSON', 3)
('benjamin billingsley ORG', 3)
('ben wells PERSON', 3)
('ben hurlock PERSON', 3)
('bell joshua ORG', 3)
('barozzio PERSON', 3)
('barkston GPE', 3)
('barker NORP', 3)
('bagshaw matt pierce matt TIME', 3)
('atlantis PRODUCT', 3)
('at least thirty CARDINAL', 3)
('assyrian NORP', 3)
('asia africa GPE', 3)
('arthur hildersham GPE', 3)
('arthur earl PERSON', 3)
('arabic NORP', 3)
('anthony PERSON', 3)
('anna PERSON', 3)
('anglo-latina ORG', 3)
('anderson PERSON', 3)
('anatomica la de varies PERSON', 3)
('anatomica PERSON', 3)
('analytican NORP', 3)
('an hundred miles QUANTITY', 3)
('amsterdam ORG', 3)
('amsterdam GPE', 3)
('alphabet GPE', 3)
('all the year DATE', 3)
('aesopi PERSON', 3)
('adieu cook PERSON', 3)
('above hundred thouand pounds QUANTITY', 3)
('about usury DATE', 3)
('about three months ago DATE', 3)
('about thirty CARDINAL', 3)
('about ten inch QUANTITY', 3)
('about sixty CARDINAL', 3)
('about miles QUANTITY', 3)
('about four years DATE', 3)
('about four CARDINAL', 3)
('about an hundred CARDINAL', 3)
('ab unico la universal motu ORG', 3)
('a year and a quarter DATE', 3)
('a very few years DATE', 3)
('a thousand years DATE', 3)
('a thousand pounds QUANTITY', 3)
('a many years DATE', 3)
('-york GPE', 3)
('york charles lord clifford henry PERSON', 2)
('york PERSON', 2)
('yeoman GPE', 2)
('years ago DATE', 2)
('wotton GPE', 2)
('wm williams PERSON', 2)
('williams gormanston PERSON', 2)
('william york PERSON', 2)
('william wright PERSON', 2)
('william whitmore PERSON', 2)
('william trenchard PERSON', 2)
('william thorpe PERSON', 2)
('william thomas PERSON', 2)
('william thence PERSON', 2)
('william the PERSON', 2)
('william stanley PERSON', 2)
('william spring PERSON', 2)
('william sherrard PERSON', 2)
('william rushton PERSON', 2)
('william roberts PERSON', 2)
('william rascal price PERSON', 2)
('william rascal PERSON', 2)
('william portman PERSON', 2)
('william pope PERSON', 2)
('william pettit PERSON', 2)
('william mounton PERSON', 2)
('william miller PERSON', 2)
('william maynard PERSON', 2)
('william marshall PERSON', 2)
('william lord allington PERSON', 2)
('william lord PERSON', 2)
('william late viscount PERSON', 2)
('william jones knight town PERSON', 2)
('william hyde PERSON', 2)
('william garway esq PERSON', 2)
('william escort PERSON', 2)
('william ellis PERSON', 2)
('william earl PERSON', 2)
('william drake PERSON', 2)
('william dean PERSON', 2)
('william coward PERSON', 2)
('william courtenay PERSON', 2)
('william cooper PERSON', 2)
('william caufield PERSON', 2)
('william cadman PERSON', 2)
('william brereton PERSON', 2)
('william brag PERSON', 2)
('william beset PERSON', 2)
('william ash PERSON', 2)
('widerington GPE', 2)
('whither three CARDINAL', 2)
('wherein many thousands CARDINAL', 2)
('wet-india ORG', 2)
('welshman PERSON', 2)
('wells earl PERSON', 2)
('weeks DATE', 2)
('webley GPE', 2)
('walter young PERSON', 2)
('walter stapleton PERSON', 2)
('walter nirvana PERSON', 2)
('walter bruce PERSON', 2)
('wakeman PERSON', 2)
('w PERSON', 2)
('viz siam cochin-china PERSON', 2)
('villa de ORG', 2)
('viderit expedir PERSON', 2)
("veneris prox' PERSON", 2)
('veneris nov PERSON', 2)
('varilla ORG', 2)
("ulterius factur' ORG", 2)
('uch years DATE', 2)
('uch days DATE', 2)
('ubcrib PERSON', 2)
('two years and odd days DATE', 2)
('two thouand pounds QUANTITY', 2)
('two or three years twelve DATE', 2)
('two nights DATE', 2)
('two hundred years DATE', 2)
('two hundred thousand CARDINAL', 2)
('two hundred and sixty thousand pounds CARDINAL', 2)
('twenty two years DATE', 2)
('twenty two yards QUANTITY', 2)
('twenty thouand pounds QUANTITY', 2)
('twenty six years DATE', 2)
('twenty or thirty miles QUANTITY', 2)
('twenty nights DATE', 2)
('twenty millions CARDINAL', 2)
('twelve-month DATE', 2)
('twelve years old DATE', 2)
('twelve years of age DATE', 2)
('twelve quarters CARDINAL', 2)
('twelve pounds QUANTITY', 2)
('twelve miles QUANTITY', 2)
('twelve and an half DATE', 2)
('tuesday april DATE', 2)
('tuam cashell PRODUCT', 2)
('trimm ORG', 2)
('trimleston butler of ORG', 2)
('trevor williams PERSON', 2)
('tom PERSON', 2)
('tiptoft earl PERSON', 2)
('tim west tim PERSON', 2)
('three quarters DATE', 2)
('three or four inches QUANTITY', 2)
('three or four days DATE', 2)
('three hundred thousand CARDINAL', 2)
('three hundred and seventy thousand pounds CARDINAL', 2)
('three hundred and seventy CARDINAL', 2)
('three hundred and eventy eight CARDINAL', 2)
('three hours TIME', 2)
('three foot QUANTITY', 2)
('three fifths CARDINAL', 2)
('those three years DATE', 2)
('thomond ulick de bourk ORG', 2)
('thomas wharton PERSON', 2)
('thomas vaughan PERSON', 2)
('thomas town bore PERSON', 2)
('thomas stringer PERSON', 2)
('thomas stanley PERSON', 2)
('thomas slingsby PERSON', 2)
('thomas savile PERSON', 2)
('thomas savier PERSON', 2)
('thomas roper PERSON', 2)
('thomas proby PERSON', 2)
('thomas player PERSON', 2)
('thomas neal PERSON', 2)
('thomas mydalton knight PERSON', 2)
('thomas moore PERSON', 2)
('thomas mompesson knight PERSON', 2)
('thomas lucy PERSON', 2)
('thomas lord viscount PERSON', 2)
('thomas jermyn PERSON', 2)
('thomas hobby esq PERSON', 2)
('thomas herbert esq PERSON', 2)
('thomas harvey knight PERSON', 2)
('thomas grey PERSON', 2)
('thomas freelove PERSON', 2)
('thomas fetherston PERSON', 2)
('thomas fane PERSON', 2)
('thomas duke PERSON', 2)
('thomas davison PERSON', 2)
('thomas darcy PERSON', 2)
('thomas cusack PERSON', 2)
('thomas coningsby PERSON', 2)
('thomas clarges PERSON', 2)
('thomas bourk PERSON', 2)
('thomas bourcher PERSON', 2)
('thomas bide knight PERSON', 2)
('thoe holidays DATE', 2)
('this winter DATE', 2)
('this week DATE', 2)
('this thirty or forty years DATE', 2)
('this night TIME', 2)
('this house of commons ORG', 2)
('this day seven-night DATE', 2)
('thirty years ago DATE', 2)
('thirty three years DATE', 2)
('thirty or forty years DATE', 2)
('thirty or forty TIME', 2)
('thirty or TIME', 2)
('thirty five or DATE', 2)
('thirty eight years DATE', 2)
('these two years DATE', 2)
('these twenty years DATE', 2)
('these seven years DATE', 2)
('these many years DATE', 2)
('these forty years last past DATE', 2)
('these days DATE', 2)
('theo jones maur justice canc mesh ORG', 2)
('their tender years DATE', 2)
('their majesties council ORG', 2)
('their days DATE', 2)
('the york shire GPE', 2)
('the years end DATE', 2)
('the year and day DATE', 2)
('the year and a day DATE', 2)
('the west coast LOC', 2)
('the usual hours TIME', 2)
('the university of dublin ORG', 2)
('the universal catholic church ORG', 2)
('the united stock ORG', 2)
('the thirteenth year DATE', 2)
('the th day of june DATE', 2)
('the tenth year DATE', 2)
('the supreme authority ORG', 2)
('the seventh year DATE', 2)
('the seventh century DATE', 2)
('the same month DATE', 2)
('the red sea LOC', 2)
('the prince of orange ORG', 2)
('the present month DATE', 2)
('the plaintiffs council ORG', 2)
('the persian language LOC', 2)
('the period of years DATE', 2)
('the northumbrian kingdom LOC', 2)
('the next week DATE', 2)
('the middle of september DATE', 2)
('the loom nine quarters and an half DATE', 2)
('the last two years DATE', 2)
('the last three years DATE', 2)
('the last six years DATE', 2)
('the last month DATE', 2)
('the last day DATE', 2)
('the kingdom of france GPE', 2)
('the king of sweden ORG', 2)
('the holy roman catholic religion ORG', 2)
('the fourth century DATE', 2)
('the fore-noon TIME', 2)
('the following year DATE', 2)
('the first and second years DATE', 2)
('the end of even years DATE', 2)
('the earl of southampton FAC', 2)
('the council of trade ORG', 2)
('the beginning of the day DATE', 2)
('the beginning of april DATE', 2)
('the bank of england ORG', 2)
('the am afternoon TIME', 2)
('the afternoon TIME', 2)
('that season of the year DATE', 2)
('that quarter DATE', 2)
('tenorem PERSON', 2)
('ten thousand ton QUANTITY', 2)
('ten thouand ton QUANTITY', 2)
('ten pound QUANTITY', 2)
('ten or fifteen miles QUANTITY', 2)
('ten or fifteen CARDINAL', 2)
('ten cloths a week DATE', 2)
('sweden savoy ORG', 2)
('such years DATE', 2)
('such days DATE', 2)
('stephen earl PERSON', 2)
('stephen de long espee PERSON', 2)
('state ORG', 2)
('stafford ORG', 2)
('st patricks church ORG', 2)
("st martin's GPE", 2)
('st lawrence day GPE', 2)
('st lawrence GPE', 2)
