format is (<name> <TYPE>, <frequency>)
('william crook PERSON', 12)
('twenty four CARDINAL', 12)
('thomas brooks PERSON', 12)
('the privy council ORG', 12)
('that year DATE', 12)
('six pence MONEY', 12)
('robert scot PERSON', 12)
('robert horn PERSON', 12)
('richard royston PERSON', 12)
('propria GPE', 12)
('one quarter CARDINAL', 12)
('one months DATE', 12)
('margaret PERSON', 12)
('k charles PERSON', 12)
('john owen PERSON', 12)
('john milton PERSON', 12)
('john creed PERSON', 12)
('henry stub price PERSON', 12)
('germans NORP', 12)
('george PERSON', 12)
('five hundred CARDINAL', 12)
('england PERSON', 12)
('about years DATE', 12)
('two hundred CARDINAL', 11)
('two days DATE', 11)
('twenty days DATE', 11)
('three or four CARDINAL', 11)
('this present year DATE', 11)
('thirty CARDINAL', 11)
('the six months DATE', 11)
('ten years DATE', 11)
("st pal's GPE", 11)
('quarter DATE', 11)
('one hundred pounds QUANTITY', 11)
('monday DATE', 11)
('littleton GPE', 11)
('jupiter LOC', 11)
('johnson PERSON', 11)
('john wright PERSON', 11)
('james earl PERSON', 11)
('hungary GPE', 11)
('eleventh ORDINAL', 11)
('ed PERSON', 11)
('earl PERSON', 11)
('a years DATE', 11)
('year DATE', 10)
('walter rawleigh PERSON', 10)
('three weeks DATE', 10)
('thomas knights PERSON', 10)
('the next year DATE', 10)
('the month DATE', 10)
('summer DATE', 10)
('our days DATE', 10)
('only one CARDINAL', 10)
('kenelm PERSON', 10)
('john evelyn PERSON', 10)
('james collins PERSON', 10)
('forc ORG', 10)
('five millions CARDINAL', 10)
('egyptian NORP', 10)
('east-india-company GPE', 10)
('baker PERSON', 10)
('armenians NORP', 10)
('west-india GPE', 9)
('twenty or thirty years ago DATE', 9)
('three pence MONEY', 9)
('thomas watson PERSON', 9)
('thomas cook PERSON', 9)
('thomas beset PERSON', 9)
('thirty two CARDINAL', 9)
('thirty days DATE', 9)
('thirteenth ORDINAL', 9)
('the popish party ORG', 9)
('the hour TIME', 9)
('the first day DATE', 9)
('the end of the year DATE', 9)
('that day DATE', 9)
('ten thousand pounds QUANTITY', 9)
('sunday DATE', 9)
('sixty CARDINAL', 9)
('sixteen CARDINAL', 9)
('sectam suam PERSON', 9)
('puerilis PERSON', 9)
('parish NORP', 9)
('new-years DATE', 9)
('more than one CARDINAL', 9)
('los ORG', 9)
('jewish NORP', 9)
('james bateman PERSON', 9)
('inclin GPE', 9)
('henry earl PERSON', 9)
('george thompson PERSON', 9)
('francisco de quevedo PERSON', 9)
('fourteen CARDINAL', 9)
('ford ORG', 9)
('every day in the week DATE', 9)
('esq city GPE', 9)
('bin PERSON', 9)
('artificer PERSON', 9)
('william morton PERSON', 8)
('william low- PERSON', 8)
('wednesday DATE', 8)
('w morton PERSON', 8)
('vel decor PERSON', 8)
('two thousand pounds QUANTITY', 8)
('two centuries DATE', 8)
('twenty thousand pounds QUANTITY', 8)
('three fourths CARDINAL', 8)
('thomas williams PERSON', 8)
('thomas dade PERSON', 8)
('the year to the year DATE', 8)
('the th day of may DATE', 8)
('the same year DATE', 8)
('the persian gulf LOC', 8)
('the nineteenth year DATE', 8)
('the end of seven years DATE', 8)
('ten pounds QUANTITY', 8)
('sodali NORP', 8)
('simon leach PERSON', 8)
('seventy thousand pounds QUANTITY', 8)
('seventeen CARDINAL', 8)
('samuel watts PERSON', 8)
('robert earl PERSON', 8)
('robert anderson PERSON', 8)
('quam tres PERSON', 8)
('paschae anno PERSON', 8)
('operibus GPE', 8)
('one penny MONEY', 8)
('one hundred years DATE', 8)
('one hundred CARDINAL', 8)
('measur GPE', 8)
('lacedaemonians NORP', 8)
('joseph clark PERSON', 8)
('john temple PERSON', 8)
('john stanley PERSON', 8)
('john ogleby esq PERSON', 8)
('john knight PERSON', 8)
('john duke PERSON', 8)
('john dryden PERSON', 8)
('john denham knight PERSON', 8)
('john davis PERSON', 8)
('james butler earl PERSON', 8)
('isaaco GPE', 8)
('hobs ORG', 8)
('henry king PERSON', 8)
('generibus ORG', 8)
('francis drake PERSON', 8)
('francis bacon PERSON', 8)
('fabian NORP', 8)
('egyptians NORP', 8)
('edward smith PERSON', 8)
('dalton PERSON', 8)
('anthony st ledger PERSON', 8)
('albemarle GPE', 8)
('albans NORP', 8)
('adhiberi nos PERSON', 8)
('about two years DATE', 8)
('about one million CARDINAL', 8)
('about five millions CARDINAL', 8)
('a week DATE', 8)
('a hundred CARDINAL', 8)
('a few months DATE', 8)
('york GPE', 7)
('wallingford GPE', 7)
('un ORG', 7)
('two hundred thousand pounds CARDINAL', 7)
('twenty four years DATE', 7)
('twelve years DATE', 7)
('tuesday DATE', 7)
('three hundred CARDINAL', 7)
('thousand CARDINAL', 7)
('thou CARDINAL', 7)
('thompson PERSON', 7)
('thomas jones PERSON', 7)
('thomas burrel PERSON', 7)
('these late years DATE', 7)
('the week DATE', 7)
('the third year DATE', 7)
('the th year of his age DATE', 7)
('the second year DATE', 7)
('the roman catholic religion ORG', 7)
('the last years DATE', 7)
('the general court ORG', 7)
('the five years DATE', 7)
('the fifth year DATE', 7)
('the am day DATE', 7)
('ten pence MONEY', 7)
('st davits ORG', 7)
('six weeks DATE', 7)
('six days DATE', 7)
('simon miller PERSON', 7)
('seventeenth ORDINAL', 7)
('scottish NORP', 7)
('roger coke price PERSON', 7)
('roberto booth PERSON', 7)
('richard duke PERSON', 7)
('quibus ORG', 7)
('patriarchs ORG', 7)
('one hundred thousand CARDINAL', 7)
('northampton PERSON', 7)
('normandy ORG', 7)
('michaelis GPE', 7)
('mediterranean LOC', 7)
('mayo ORG', 7)
('ludgate-hill ORG', 7)
('john ford PERSON', 7)
('jamaica GPE', 7)
('heylin GPE', 7)
('henry wotton PERSON', 7)
('henry herringman PERSON', 7)
('george herbert PERSON', 7)
('francis kirkman PERSON', 7)
('fourteen days DATE', 7)
('four days DATE', 7)
('fifteenth ORDINAL', 7)
('evening TIME', 7)
('edward millington PERSON', 7)
('edward herbert PERSON', 7)
('eat-india ORG', 7)
('debet GPE', 7)
('cornhill GPE', 7)
('charles earl PERSON', 7)
('castleton GPE', 7)
('bedford ORG', 7)
('baltimore GPE', 7)
('an hundred thousand CARDINAL', 7)
('abus ORG', 7)
('about three CARDINAL', 7)
('a day DATE', 7)
('york ORG', 6)
('yesterday DATE', 6)
('william williams PERSON', 6)
('william lee PERSON', 6)
('william gearing PERSON', 6)
('william dugdale PERSON', 6)
('william bridgman PERSON', 6)
('william brabazon PERSON', 6)
('william barker PERSON', 6)
('two thousand CARDINAL', 6)
('two or three days DATE', 6)
('twenty-fours TIME', 6)
('twenty six CARDINAL', 6)
('twentieth ORDINAL', 6)
('tom price PERSON', 6)
('three or four years DATE', 6)
('those years DATE', 6)
('thomas smith PERSON', 6)
('thomas butler PERSON', 6)
('thoe years DATE', 6)
('thirty one years DATE', 6)
('the united provinces ORG', 6)
('the third month DATE', 6)
('the th of september DATE', 6)
('the th day of november DATE', 6)
('the th day of march DATE', 6)
('the second month DATE', 6)
('the next morning TIME', 6)
('the many years DATE', 6)
('the house of lords ORG', 6)
('the first month DATE', 6)
('the eight days DATE', 6)
('ten-pence MONEY', 6)
('suffolk norfolk PERSON', 6)
('spencer hickman PERSON', 6)
('some hours TIME', 6)
('sixty pence MONEY', 6)
('scarron PERSON', 6)
('sam ford PERSON', 6)
('rotterdam PERSON', 6)
('robert sanderson late PERSON', 6)
('robert cotton knight PERSON', 6)
('robert carr PERSON', 6)
('quarter CARDINAL', 6)
('philip PERSON', 6)
('peter heylin ORG', 6)
('only two CARDINAL', 6)
('omrahs ORG', 6)
('morbus ORG', 6)
('month DATE', 6)
('million CARDINAL', 6)
('mexico GPE', 6)
('martin s mearne PERSON', 6)
('martin ORG', 6)
('julian NORP', 6)
('jonathan robinson PERSON', 6)
('john tillotson PERSON', 6)
('john reynolds PERSON', 6)
('john playford PERSON', 6)
('john pearson PERSON', 6)
('john howe PERSON', 6)
('john hancock PERSON', 6)
('john goodwin PERSON', 6)
('john donne PERSON', 6)
('john brown PERSON', 6)
('james sher PERSON', 6)
('james janeway PERSON', 6)
('james dyer PERSON', 6)
('james butler PERSON', 6)
('isaac walton PERSON', 6)
('gratia anglia ORG', 6)
('francis PERSON', 6)
('four thousand CARDINAL', 6)
('four months DATE', 6)
('forty days DATE', 6)
('five pounds QUANTITY', 6)
('fifty pounds QUANTITY', 6)
('fifty per cent MONEY', 6)
('fifteen per cent MONEY', 6)
('few years DATE', 6)
('every month DATE', 6)
('etiam PERSON', 6)
('elizabeth k james PERSON', 6)
('eight days DATE', 6)
('edward thomas PERSON', 6)
('edward stillingfleet PERSON', 6)
('edward cocker ORG', 6)
('earl GPE', 6)
('curia nostra coram nobis ORG', 6)
('coke ORG', 6)
('cicero ORG', 6)
('chritians NORP', 6)
('chr wilkinson PERSON', 6)
('charles wolsely PERSON', 6)
('california GPE', 6)
('bush PERSON', 6)
('bodin PERSON', 6)
('birmingham GPE', 6)
('benjamin camfield PERSON', 6)
('ann ORG', 6)
('aden GPE', 6)
('a year and a day DATE', 6)
('a hundred years DATE', 6)
('a few hours TIME', 6)
('william temple PERSON', 5)
('william cadmium PERSON', 5)
('venice danzick FAC', 5)
('venetian NORP', 5)
('uxorem PERSON', 5)
('usum NORP', 5)
('two thirds CARDINAL', 5)
('two hours TIME', 5)
('twelve months DATE', 5)
('three weeks or DATE', 5)
('three thousand CARDINAL', 5)
('three quarters CARDINAL', 5)
('three or four millions CARDINAL', 5)
('three millions CARDINAL', 5)
('thou GPE', 5)
('thomas pilkington PERSON', 5)
('thomas carew PERSON', 5)
('this summer DATE', 5)
('thirty thousand CARDINAL', 5)
('these years DATE', 5)
('these few years DATE', 5)
('the united netherlands GPE', 5)
('the th of april DATE', 5)
('the th day of january DATE', 5)
('the th day of december DATE', 5)
('the spring DATE', 5)
('the republic of venice GPE', 5)
('the public council ORG', 5)
('the night TIME', 5)
('the first year DATE', 5)
('the earl of FAC', 5)
('the age of years DATE', 5)
('stamford GPE', 5)
('st jago GPE', 5)
('st albans NORP', 5)
